x1 	 x2
0.0	1.0
0.0040	0.9367544467966324
0.0080	0.9105572809000084
0.012	0.8904554884989668
0.016	0.8735088935932649
0.02	0.8585786437626906
0.024	0.8450806661517033
0.028	0.8326679946931849
0.032	0.8211145618000169
0.036000000000000004	0.8102633403898972
0.04	0.8
0.044	0.7902382303659696
0.048	0.7809109769979335
0.052000000000000005	0.7719649149801724
0.056	0.7633568086760154
0.06	0.7550510257216823
0.064	0.7470177871865297
0.068	0.739231903791894
0.07200000000000001	0.7316718427000253
0.076	0.7243190249581956
0.08	0.717157287525381
0.084	0.7101724650762112
0.088	0.7033520605161735
0.092	0.696684982237938
0.096	0.6901613323034066
0.1	0.683772233983162
0.10400000000000001	0.677509690068058
0.108	0.6713664654969003
0.112	0.6653359893863697
0.116	0.659412272681472
0.12	0.6535898384862245
0.124	0.6478636627668198
0.128	0.6422291236000337
0.132	0.6366819575083009
0.136	0.6312182217082845
0.14	0.6258342613226058
0.14400000000000002	0.6205266807797944
0.148	0.6152923187665731
0.152	0.6101282262076415
0.156	0.60503164683737
0.16	0.6
0.164	0.5950308653736682
0.168	0.590121969361616
0.17200000000000001	0.5852711729334455
0.176	0.5804764607319394
0.18	0.5757359312880714
0.184	0.5710477882094557
0.188	0.566410332226424
0.192	0.5618219539958671
0.196	0.5572811275764269
0.2	0.5527864045000421
0.20400000000000001	0.5483364083745514
0.20800000000000002	0.5439298299603448
0.212	0.5395654226711465
0.216	0.53524199845511
0.22	0.530958424017657
0.224	0.5267136173520307
0.228	0.522506544547467
0.232	0.5183362168483081
0.23600000000000002	0.5142016879403553
0.24	0.5101020514433644
0.244	0.5060364385908612
0.248	0.5020040160804506
0.252	0.4980039840795547
0.256	0.49403557437305934
0.26	0.4900980486407215
0.264	0.4861906968533948
0.268	0.4823128357782086
0.272	0.47846380758378804
0.276	0.4746429785374521
0.28	0.47084973778708183
0.28400000000000003	0.46708349622103085
0.28800000000000003	0.46334368540005044
0.292	0.4596297565557482
0.296	0.45594117965058223
0.3	0.4522774424948339
0.304	0.4486380499163911
0.308	0.4450225229795357
0.312	0.44143039824924235
0.316	0.4378612270977922
